DATA,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),
,Precipitação anual (mm),FLAG,Precipitação diária (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação horária (mm),FLAG,Precipitação mensal (mm),FLAG,Velocidade do vento horária (m/s),FLAG,Velocidade do vento máxima horária (m/s),FLAG,Velocidade do vento média diária (m/s),FLAG
2020-01-01,,,,,,,0,,,,0.8,,1.7,,,
2020-01-01,,,,,,,0,,,,0.7,,1.3,,,
2020-01-01,,,,,,,0,,,,0.6,,1.3,,,
2020-01-01,,,,,,,0,,,,0.8,,1.7,,,
2020-01-01,,,,,,,0,,,,1.1,,1.9,,,
2020-01-01,,,,,,,0,,,,0.7,,1.4,,,
2020-01-01,,,,,,,0,,,,0.6,,1.5,,,
2020-01-01,,,,,,,0,,,,0.7,,1.3,,,
2020-01-01,,,,,,,0,,,,0.2,,0.9,,,
2020-01-01,,,0,(vau),,,0,,,,0.1,,0.7,,0.6,
2020-01-01,,,,,,,0,,,,0.2,,0.9,,,
2020-01-01,,,,,,,0,,,,0.5,,1.4,,,
2020-01-01,,,,,,,0,,,,0.7,,2.3,,,
2020-01-01,,,,,,,0,,,,0.6,,1.7,,,
2020-01-01,,,,,,,0,,,,0.5,,1.9,,,
2020-01-01,,,,,,,0,,,,0.7,,2.3,,,
2020-01-01,,,,,,,0,,,,0.4,,1.7,,,
2020-01-01,,,,,,,0,,,,0.2,,1.5,,,
2020-01-01,,,,,,,0,,,,0.1,,0.8,,,
2020-01-01,,,,,,,0,,,,0,,0.4,,,
2020-01-01,,,,,,,0,,,,0.4,,0.9,,,
2020-01-01,,,,,,,0,,,,0.5,,0.9,,,
2020-01-01,,,,,,,0,,,,0.3,,1,,,
2020-01-01,,,,,,,0,,,,0.1,,0.5,,,
2020-02-01,,,,,,,0,,,,0,,0,,,
2020-02-01,,,,,,,0,,,,0,,0,,,
2020-02-01,,,,,,,0,,,,0.1,,0.8,,,
2020-02-01,,,,,,,0,,,,0.1,,1,,,
2020-02-01,,,,,,,0,,,,0.1,,1,,,
2020-02-01,,,,,,,0,,,,0,,0.6,,,
2020-02-01,,,,,,,0,,,,0,,0.6,,,
2020-02-01,,,,,,,0,,,,0.1,,1,,,
2020-02-01,,,,,,,0,,,,0.1,,1.2,,,
2020-02-01,,,0,(vau),,,0,,,,0.1,,0.9,,0.2,
2020-02-01,,,,,,,0,,,,0.1,,0.8,,,
2020-02-01,,,,,,,0,,,,0.2,,0.9,,,
2020-02-01,,,,,,,0,,,,0.3,,1.3,,,
2020-02-01,,,,,,,0,,,,0.6,,1.7,,,
2020-02-01,,,,,,,0,,,,0.3,,1.6,,,
2020-02-01,,,,,,,0,,,,0.3,,1.7,,,
2020-02-01,,,,,,,0,,,,0.2,,1,,,
2020-02-01,,,,,,,0,,,,0.1,,0.6,,,
2020-02-01,,,,,,,0,,,,0,,0.6,,,
2020-02-01,,,,,,,0,,,,0,,0.4,,,
2020-02-01,,,,,,,0,,,,0.2,,0.9,,,
2020-02-01,,,,,,,0,,,,0,,0.4,,,
2020-02-01,,,,,,,0,,,,0.1,,1,,,
2020-02-01,,,,,,,0,,,,0.1,,0.7,,,
2020-03-01,,,,,,,0,,,,0.1,,0.6,,,
2020-03-01,,,,,,,0,,,,0.1,,1,,,
2020-03-01,,,,,,,0,,,,0.1,,0.8,,,
2020-03-01,,,,,,,0,,,,0,,0.7,,,
2020-03-01,,,,,,,0,,,,0,,0.5,,,
2020-03-01,,,,,,,0,,,,0.1,,0.7,,,
2020-03-01,,,,,,,0,,,,0,,0,,,
2020-03-01,,,,,,,0,,,,0,,0,,,
2020-03-01,,,,,,,0,,,,0.1,,0.8,,,
2020-03-01,,,0,(vau),,,0,,,,0.1,,0.6,,0.1,
2020-03-01,,,,,,,0,,,,0,,0.4,,,
2020-03-01,,,,,,,0,,,,0.2,,1.3,,,
2020-03-01,,,,,,,0,,,,0.5,,1.7,,,
2020-03-01,,,,,,,0,,,,0.7,,2.5,,,
2020-03-01,,,,,,,0,,,,0.8,,1.9,,,
2020-03-01,,,,,,,0,,,,0.7,,1.7,,,
2020-03-01,,,,,,,0,,,,1.1,,2.5,,,
2020-03-01,,,,,,,0,,,,0.5,,1.5,,,
2020-03-01,,,,,,,0,,,,0.2,,1,,,
2020-03-01,,,,,,,0,,,,0,,0,,,
2020-03-01,,,,,,,0,,,,0.1,,0.8,,,
2020-03-01,,,,,,,0,,,,0,,0.3,,,
2020-03-01,,,,,,,0,,,,0,,0.4,,,
2020-03-01,,,,,,,0,,,,0.1,,0.7,,,
2020-04-01,,,,,,,0,,,,0.3,,1.4,,,
2020-04-01,,,,,,,0,,,,0,,0.7,,,
2020-04-01,,,,,,,0,,,,0.1,,1.3,,,
2020-04-01,,,,,,,0,,,,0.6,,1.8,,,
2020-04-01,,,,,,,0,,,,1.1,,2.9,,,
2020-04-01,,,,,,,0,,,,2,,4.3,,,
2020-04-01,,,,,,,0,,,,2.4,,5.3,,,
2020-04-01,,,,,,,0,,,,2.1,,4.4,,,
2020-04-01,,,,,,,0,,,,1.7,,3.7,,,
2020-04-01,,,0,(vau),,,0,,,,1.2,,2.5,,0.7,
2020-04-01,,,,,,,0,,,,1.2,,2.7,,,
2020-04-01,,,,,,,0,,,,1.2,,2.6,,,
2020-04-01,,,,,,,0,,,,1.1,,2.9,,,
2020-04-01,,,,,,,0,,,,1,,3.7,,,
2020-04-01,,,,,,,0,,,,1.1,,2.9,,,
2020-04-01,,,,,,,0,,,,1.1,,2.4,,,
2020-04-01,,,,,,,0,,,,0.9,,2,,,
2020-04-01,,,,,,,0,,,,0.7,,2.4,,,
2020-04-01,,,,,,,0,,,,0.6,,1.5,,,
2020-04-01,,,,,,,0,,,,0.8,,1.7,,,
2020-04-01,,,,,,,0,,,,1,,2,,,
2020-04-01,,,,,,,0,,,,1,,2,,,
2020-04-01,,,,,,,0,,,,0.9,,1.6,,,
2020-04-01,,,,,,,0,,,,0.9,,2.5,,,
2020-05-01,,,,,,,0,,,,1,,2.6,,,
2020-05-01,,,,,,,0,,,,0.9,,1.7,,,
2020-05-01,,,,,,,0,,,,0.8,,1.7,,,
2020-05-01,,,,,,,0,,,,1,,2.4,,,
2020-05-01,,,,,,,0,,,,0.9,,1.8,,,
2020-05-01,,,,,,,0,,,,1.2,,2.4,,,
2020-05-01,,,,,,,0,,,,1.3,,2.6,,,
2020-05-01,,,,,,,0,,,,0.3,,1.7,,,
2020-05-01,,,,,,,0,,,,0.3,,1.3,,,
2020-05-01,,,0,(vau),,,0,,,,0.7,,1.8,,0.9,
2020-05-01,,,,,,,0,,,,0.9,,2.6,,,
2020-05-01,,,,,,,0,,,,1,,2.8,,,
2020-05-01,,,,,,,0,,,,1,,2.3,,,
2020-05-01,,,,,,,0,,,,1,,2.5,,,
2020-05-01,,,,,,,0,,,,0.9,,2.7,,,
2020-05-01,,,,,,,0,,,,0.9,,2.6,,,
2020-05-01,,,,,,,0,,,,0.9,,2.3,,,
2020-05-01,,,,,,,0,,,,0.5,,1.5,,,
2020-05-01,,,,,,,0,,,,0.1,,0.9,,,
2020-05-01,,,,,,,0,,,,0.2,,0.9,,,
2020-05-01,,,,,,,0,,,,0.2,,0.8,,,
2020-05-01,,,,,,,0,,,,0.4,,0.9,,,
2020-05-01,,,,,,,0,,,,0.6,,1,,,
2020-05-01,,,,,,,0,,,,0.5,,0.8,,,
2020-06-01,,,,,,,0,,,,0.6,,1,,,
2020-06-01,,,,,,,0,,,,0.8,,1.1,,,
2020-06-01,,,,,,,0,,,,0.1,,0.9,,,
2020-06-01,,,,,,,0,,,,0.2,,0.9,,,
2020-06-01,,,,,,,0,,,,0.4,,1,,,
2020-06-01,,,,,,,0,,,,0.2,,1.2,,,
2020-06-01,,,,,,,0,,,,0.3,,1.7,,,
2020-06-01,,,,,,,0,,,,0.6,,1.5,,,
2020-06-01,,,,,,,0,,,,0.7,,1.9,,,
2020-06-01,,,0,(vau),,,0,,,,0.7,,1.6,,0.6,
2020-06-01,,,,,,,0,,,,0.4,,1.7,,,
2020-06-01,,,,,,,0,,,,0.5,,1.6,,,
2020-06-01,,,,,,,0,,,,0.6,,2,,,
2020-06-01,,,,,,,0,,,,0.4,,1.7,,,
2020-06-01,,,,,,,0,,,,0.7,,2,,,
2020-06-01,,,,,,,0,,,,0.9,,2.3,,,
2020-06-01,,,,,,,0,,,,1.1,,3.4,,,
2020-06-01,,,,,,,0,,,,1.1,,2.3,,,
2020-06-01,,,,,,,0,,,,0.9,,2.5,,,
2020-06-01,,,,,,,0,,,,1.5,,3,,,
2020-06-01,,,,,,,0,,,,1.7,,3.8,,,
2020-06-01,,,,,,,0,,,,1.8,,6,,,
2020-06-01,,,,,,,0,,,,1.9,,4.2,,,
2020-06-01,,,,,,,0,,,,1.4,,3.2,,,
2020-07-01,,,,,,,0,,,,1.1,,2.3,,,
2020-07-01,,,,,,,0,,,,0.9,,2.5,,,
2020-07-01,,,,,,,0,,,,1.6,,3.2,,,
2020-07-01,,,,,,,0,,,,1,,2.1,,,
2020-07-01,,,,,,,0,,,,0.3,,1,,,
2020-07-01,,,,,,,0,,,,0.4,,1.1,,,
2020-07-01,,,,,,,0,,,,0.2,,0.8,,,
2020-07-01,,,,,,,0,,,,0.2,,0.9,,,
2020-07-01,,,,,,,0,,,,0.6,,1.2,,,
2020-07-01,,,0,(vau),,,0,,,,0.9,,3.2,,0.9,
2020-07-01,,,,,,,0,,,,2.2,,4.2,,,
2020-07-01,,,,,,,0,,,,1.7,,3.7,,,
2020-07-01,,,,,,,0,,,,1.1,,2.6,,,
2020-07-01,,,,,,,0,,,,0.8,,1.8,,,
2020-07-01,,,,,,,0,,,,0.8,,2.4,,,
2020-07-01,,,,,,,0,,,,0.7,,1.9,,,
2020-07-01,,,,,,,0,,,,0.5,,2.2,,,
2020-07-01,,,,,,,0,,,,1,,2.5,,,
2020-07-01,,,,,,,0,,,,0.4,,2.1,,,
2020-07-01,,,,,,,0,,,,0.1,,0.7,,,
2020-07-01,,,,,,,0,,,,0.3,,2.4,,,
2020-07-01,,,,,,,0,,,,1.5,,2.9,,,
2020-07-01,,,,,,,0,,,,2.8,,6.2,,,
2020-07-01,,,,,,,0,,,,1.2,,4.9,,,
2020-08-01,,,,,,,0,,,,0.8,,3.3,,,
2020-08-01,,,,,,,0,,,,2.6,,4.6,,,
2020-08-01,,,,,,,0,,,,2,,3.9,,,
2020-08-01,,,,,,,0,,,,1.1,,3.8,,,
2020-08-01,,,,,,,0,,,,0.6,,3.2,,,
2020-08-01,,,,,,,0,,,,2.2,,7.3,,,
2020-08-01,,,,,,,0,,,,4.6,,9.4,,,
2020-08-01,,,,,,,0,,,,3.3,,7.8,,,
2020-08-01,,,,,,,0,,,,3.6,,6.6,,,
2020-08-01,,,0,(vau),,,0,,,,2.6,,6.3,,1.6,
2020-01-03,,,,,,,,,,,1.6,,3.4,,,
2020-01-03,,,,,,,0,,,,1.8,,4,,,
2020-01-03,,,,,,,0,,,,2.2,,6.3,,,
2020-01-03,,,,,,,0,,,,2.2,,4.1,,,
2020-01-03,,,,,,,0,,,,2,,4,,,
2020-01-03,,,,,,,0,,,,1.8,,5,,,
2020-01-03,,,,,,,0,,,,2.1,,5.2,,,
2020-01-03,,,,,,,0,,,,2.1,,4.9,,,
2020-01-03,,,,,,,0.2,,,,2.2,,4.6,,,
2020-01-03,,,,,,,0,,,,2.7,,6.3,,,
2020-01-03,,,,,,,0,,,,2.7,,5.2,,,
2020-01-03,,,,,,,0.2,,,,2.2,,4.8,,,
2020-01-03,,,,,,,0,,,,2.7,,4.9,,,
2020-01-03,,,,,,,0.1,,,,2.6,,5.6,,,
2020-01-03,,,,,,,0,,,,2.8,,5.4,,,
2020-01-03,,,,,,,0,,,,3.2,,6.4,,,
2020-01-03,,,,,,,0,,,,3.3,,6.4,,,
2020-01-03,,,,,,,0.4,,,,3,,5.3,,,
2020-01-03,,,,,,,0,,,,3.2,,5.5,,,
2020-01-03,,,,,,,0,,,,3.4,,6.4,,,
2020-01-03,,,,,,,0,,,,3.2,,6.4,,,
2020-01-03,,,,,,,0.3,,,,2.8,,7.6,,,
2020-01-03,,,,,,,0,,,,3.6,,7,,,
2020-02-03,,,,,,,0,,,,3.8,,7.1,,,
2020-02-03,,,,,,,0,,,,3.6,,7.3,,,
2020-02-03,,,,,,,0.1,,,,3.6,,7.6,,,
2020-02-03,,,,,,,0.3,,,,3.8,,7.9,,,
2020-02-03,,,,,,,0.1,,,,2.9,,8.5,,,
2020-02-03,,,,,,,0.1,,,,4,,9,,,
2020-02-03,,,,,,,0,,,,3.5,,8.8,,,
2020-02-03,,,,,,,0,,,,3.2,,7.2,,,
2020-02-03,,,,,,,0,,,,2,,5.1,,,
2020-02-03,,,1.6,(vau),,,0,,,,2.3,,6.5,,3.1,
2020-02-03,,,,,,,0,,,,2.4,,4.9,,,
2020-02-03,,,,,,,0,,,,2.8,,10,,,
2020-02-03,,,,,,,0,,,,2.6,,6.7,,,
2020-02-03,,,,,,,0,,,,3.2,,6.5,,,
2020-02-03,,,,,,,0,,,,2.6,,6.3,,,
2020-02-03,,,,,,,0,,,,2.7,,7.2,,,
2020-02-03,,,,,,,0,,,,2.5,,7.8,,,
2020-02-03,,,,,,,0,,,,2.2,,7,,,
2020-02-03,,,,,,,0,,,,1.6,,4.9,,,
2020-02-03,,,,,,,0,,,,0.8,,3.5,,,
2020-02-03,,,,,,,0,,,,1,,3.6,,,
2020-02-03,,,,,,,0,,,,0.2,,3.7,,,
2020-02-03,,,,,,,0,,,,0.2,,1.3,,,
2020-02-03,,,,,,,0,,,,0.1,,1.5,,,
2020-03-03,,,,,,,0,,,,0.2,,1,,,
2020-03-03,,,,,,,0,,,,0.5,,1.3,,,
2020-03-03,,,,,,,0,,,,0.4,,1.3,,,
2020-03-03,,,,,,,0,,,,0.6,,1.1,,,
2020-03-03,,,,,,,0,,,,0.6,,2.5,,,
2020-03-03,,,,,,,0,,,,1.6,,3.3,,,
2020-03-03,,,,,,,0,,,,1.5,,3.7,,,
2020-03-03,,,,,,,0,,,,1.5,,4.2,,,
2020-03-03,,,,,,,0.1,,,,2.4,,5.1,,,
2020-03-03,,,0.3,(vau),,,0.2,,,,2.4,,5.7,,1.5,
2020-03-03,,,,,,,0.9,,,,3.5,,5.2,,,
2020-03-03,,,,,,,1.2,,,,0.3,,5.3,,,
2020-03-03,,,,,,,0.1,,,,2.2,,4.3,,,
2020-03-03,,,,,,,0,,,,1.8,,4.4,,,
2020-03-03,,,,,,,0,,,,1.9,,5.6,,,
2020-03-03,,,,,,,0,,,,2.7,,5.7,,,
2020-03-03,,,,,,,0,,,,2.8,,8.5,,,
2020-03-03,,,,,,,0,,,,1.8,,5,,,
2020-03-03,,,,,,,0,,,,1.9,,5.6,,,
2020-03-03,,,,,,,0,,,,1.7,,4.6,,,
2020-03-03,,,,,,,0,,,,1.4,,3.2,,,
2020-03-03,,,,,,,0,,,,1.3,,3.1,,,
2020-03-03,,,,,,,0,,,,0.9,,2.4,,,
2020-03-03,,,,,,,0,,,,0.9,,2.1,,,
2020-04-03,,,,,,,0,,,,0.8,,2.1,,,
2020-04-03,,,,,,,0,,,,0.6,,1.7,,,
2020-04-03,,,,,,,0,,,,0.8,,2.1,,,
2020-04-03,,,,,,,0,,,,1.3,,3.9,,,
2020-04-03,,,,,,,0,,,,1.9,,4.4,,,
2020-04-03,,,,,,,0,,,,1.2,,3.3,,,
2020-04-03,,,,,,,0,,,,0.3,,1.1,,,
2020-04-03,,,,,,,0,,,,0.1,,0.9,,,
2020-04-03,,,,,,,0,,,,0.5,,1.3,,,
2020-04-03,,,2.2,(vau),,,0,,,,1.2,,2.7,,1.4,
2020-04-03,,,,,,,0,,,,1.6,,3.2,,,
2020-04-03,,,,,,,0,,,,2,,3.8,,,
2020-04-03,,,,,,,0,,,,2.3,,4.3,,,
2020-04-03,,,,,,,0,,,,2.3,,4.3,,,
2020-04-03,,,,,,,0,,,,2.7,,5.2,,,
2020-04-03,,,,,,,0,,,,2.5,,4.9,,,
2020-04-03,,,,,,,0,,,,2.9,,5.1,,,
2020-04-03,,,,,,,0,,,,2.6,,4.4,,,
2020-04-03,,,,,,,0,,,,1.8,,3.9,,,
2020-04-03,,,,,,,0,,,,1.7,,3.4,,,
2020-04-03,,,,,,,0,,,,1.5,,2.9,,,
2020-04-03,,,,,,,0,,,,1.5,,4,,,
2020-04-03,,,,,,,0,,,,1.8,,3.1,,,
2020-04-03,,,,,,,0,,,,1.6,,3.2,,,
2020-05-03,,,,,,,0,,,,1.6,,3.9,,,
2020-05-03,,,,,,,0,,,,1.5,,3,,,
2020-05-03,,,,,,,0,,,,1.1,,3,,,
2020-05-03,,,,,,,0,,,,0.7,,2.6,,,
2020-05-03,,,,,,,0,,,,1.5,,4.1,,,
2020-05-03,,,,,,,0.9,,,,1.5,,3.9,,,
2020-05-03,,,,,,,1.9,,,,2.4,,6.2,,,
2020-05-03,,,,,,,0.7,,,,2.5,,7,,,
2020-05-03,,,,,,,0,,,,2.4,,6.4,,,
2020-05-03,,,3.5,(vau),,,0,,,,2.7,,8.9,,1.9,
2020-05-03,,,,,,,0,,,,2.3,,6.1,,,
2020-05-03,,,,,,,0,,,,3.1,,8.1,,,
2020-05-03,,,,,,,0,,,,2.1,,8.1,,,
2020-05-03,,,,,,,0,,,,1.8,,5.1,,,
2020-05-03,,,,,,,0,,,,2.5,,8.3,,,
2020-05-03,,,,,,,0,,,,2.2,,5.8,,,
2020-05-03,,,,,,,0,,,,1.9,,4.5,,,
2020-05-03,,,,,,,0.1,,,,1.3,,6.5,,,
2020-05-03,,,,,,,0,,,,1.5,,7.3,,,
2020-05-03,,,,,,,0,,,,1.3,,4.4,,,
2020-05-03,,,,,,,0,,,,1.6,,6.4,,,
2020-05-03,,,,,,,0,,,,1.6,,5.3,,,
2020-05-03,,,,,,,0,,,,1.6,,4.5,,,
2020-05-03,,,,,,,0,,,,1.4,,3.7,,,
2020-06-03,,,,,,,0,,,,1.7,,8.5,,,
2020-06-03,,,,,,,0,,,,1.8,,4.2,,,
2020-06-03,,,,,,,0,,,,1.5,,4.5,,,
2020-06-03,,,,,,,0,,,,1.7,,4,,,
2020-06-03,,,,,,,0,,,,1.6,,5.2,,,
2020-06-03,,,,,,,0.1,,,,2.4,,5.8,,,
2020-06-03,,,,,,,0,,,,2.5,,5.1,,,
2020-06-03,,,,,,,0,,,,2.7,,5,,,
2020-06-03,,,,,,,0,,,,3.3,,8.2,,,
2020-06-03,,,0.2,(vau),,,0,,,,2.3,,5,,2,
2020-06-03,,,,,,,0,,,,2.9,,8.2,,,
2020-06-03,,,,,,,0,,,,3.4,,7.3,,,
2020-06-03,,,,,,,0,,,,3.5,,8.5,,,
2020-06-03,,,,,,,0,,,,3.8,,11.2,,,
2020-06-03,,,,,,,0,,,,3.6,,7.4,,,
2020-06-03,,,,,,,0,,,,3.9,,7.6,,,
